"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\news\cemjs.json", "JSON", 0, 0, 4, 0, 0, 4
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\news\display\Main.tsx", "TypeScript JSX", 0, 122, 0, 9, 7, 138
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\news\display\Show.tsx", "TypeScript JSX", 0, 184, 0, 5, 11, 200
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\news\index copy.tsx", "TypeScript JSX", 0, 0, 0, 94, 24, 118
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\news\index.tsx", "TypeScript JSX", 0, 28, 0, 0, 7, 35
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\news\navigation.tsx", "TypeScript JSX", 0, 13, 0, 0, 3, 16
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\particles\cemjs.json", "JSON", 0, 0, 4, 0, 0, 4
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\particles\display\Main.tsx", "TypeScript JSX", 0, 111, 0, 14, 15, 140
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\particles\index.tsx", "TypeScript JSX", 0, 195, 0, 12, 35, 242
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\particles\navigation.tsx", "TypeScript JSX", 0, 5, 0, 0, 3, 8
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\policy\cemjs.json", "JSON", 0, 0, 4, 0, 0, 4
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\policy\display\Agreement.tsx", "TypeScript JSX", 0, 174, 0, 0, 10, 184
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\policy\display\Main.tsx", "TypeScript JSX", 0, 196, 0, 0, 5, 201
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\policy\index.tsx", "TypeScript JSX", 0, 19, 0, 0, 6, 25
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\policy\navigation.tsx", "TypeScript JSX", 0, 13, 0, 0, 3, 16
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\sliderTest\cemconfig.json", "JSON", 0, 0, 4, 0, 0, 4
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\sliderTest\cemjs.json", "JSON", 0, 0, 4, 0, 0, 4
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\sliderTest\display.tsx", "TypeScript JSX", 0, 22, 0, 0, 5, 27
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\sliderTest\functions.ts", "TypeScript", 196, 0, 0, 10, 47, 253
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\sliderTest\index.ts", "TypeScript", 12, 0, 0, 0, 1, 13
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\sliderTest\listener.ts", "TypeScript", 12, 0, 0, 0, 1, 13
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\sliderTest\loader.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"Total", "-", 283, 3551, 76, 281, 527, 4718
